query,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
Cluster_10,1332071.L581_3421,0.0,2769.0,"COG2373@1|root,COG2373@2|Bacteria,1MV7J@1224|Proteobacteria,1RNRY@1236|Gammaproteobacteria,3ZZJZ@613|Serratia",1236|Gammaproteobacteria,S,Alpha-2-Macroglobulin,-,-,-,ko:K06894,-,-,-,-,ko00000,-,-,-,"A2M,A2M_N,A2M_N_2,MG1,Thiol-ester_cl"
Cluster_11,592316.Pat9b_4096,0.0,2050.0,"COG0507@1|root,COG0507@2|Bacteria,1NS9P@1224|Proteobacteria,1SYHG@1236|Gammaproteobacteria",1236|Gammaproteobacteria,L,TrwC relaxase,-,-,-,-,-,-,-,-,-,-,-,-,"AAA_30,TraI,TrwC"
Cluster_12,465817.ETA_03080,0.0,3336.0,"COG0067@1|root,COG0069@1|root,COG0070@1|root,COG0067@2|Bacteria,COG0069@2|Bacteria,COG0070@2|Bacteria,1MU7B@1224|Proteobacteria,1RN2W@1236|Gammaproteobacteria,3X56C@551|Erwinia",1236|Gammaproteobacteria,E,Conserved region in glutamate synthase,gltB,-,"1.4.1.13,1.4.1.14",ko:K00265,"ko00250,ko00910,ko01100,ko01110,ko01120,ko01130,ko01230,map00250,map00910,map01100,map01110,map01120,map01130,map01230",-,"R00093,R00114,R00248","RC00006,RC00010,RC02799","ko00000,ko00001,ko01000",-,-,-,"GATase_2,GXGXG,Glu_syn_central,Glu_synthase"
Cluster_13,573.JG24_01095,0.0,1305.0,"COG3210@1|root,COG3210@2|Bacteria,1MX2K@1224|Proteobacteria,1RNRK@1236|Gammaproteobacteria",1236|Gammaproteobacteria,U,Large exoproteins involved in heme utilization or adhesion,-,-,-,ko:K15125,"ko05133,map05133",-,-,-,"ko00000,ko00001,ko00536",-,-,-,"DUF637,ESPR,Fil_haemagg,Fil_haemagg_2,Haemagg_act,PT-VENN"
Cluster_14,399741.Spro_4077,0.0,1651.0,"COG3210@1|root,COG3210@2|Bacteria,1MX2K@1224|Proteobacteria,1RNRK@1236|Gammaproteobacteria,401W8@613|Serratia",1236|Gammaproteobacteria,U,Large exoproteins involved in heme utilization or adhesion,-,-,-,ko:K15125,"ko05133,map05133",-,-,-,"ko00000,ko00001,ko00536",-,-,-,"ESPR,Fil_haemagg,Fil_haemagg_2,Haemagg_act,PT-VENN"
Cluster_15,1390370.O203_15570,0.0,1477.0,"COG1216@1|root,COG1887@1|root,COG1216@2|Bacteria,COG1887@2|Bacteria,1MX5Z@1224|Proteobacteria,1RMDY@1236|Gammaproteobacteria,1YERI@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,M,Glycosyl transferase family 2,-,-,-,ko:K20444,-,-,-,-,"ko00000,ko01000,ko01005,ko02000",4.D.1.3,"GT2,GT4",-,"Glycos_transf_2,Glyphos_transf,Methyltransf_23,Methyltransf_31"
Cluster_16,399741.Spro_4077,0.0,2083.0,"COG3210@1|root,COG3210@2|Bacteria,1MX2K@1224|Proteobacteria,1RNRK@1236|Gammaproteobacteria,401W8@613|Serratia",1236|Gammaproteobacteria,U,Large exoproteins involved in heme utilization or adhesion,-,-,-,ko:K15125,"ko05133,map05133",-,-,-,"ko00000,ko00001,ko00536",-,-,-,"ESPR,Fil_haemagg,Fil_haemagg_2,Haemagg_act,PT-VENN"
Cluster_17,1453503.AU05_18845,0.0,2550.0,"COG5635@1|root,COG5635@2|Bacteria,1N22Y@1224|Proteobacteria",1224|Proteobacteria,T,Nacht domain,-,-,-,-,-,-,-,-,-,-,-,-,AAA
Cluster_18,665029.EAMY_2999,0.0,1639.0,"COG3209@1|root,COG4104@1|root,COG3209@2|Bacteria,COG4104@2|Bacteria,1MVV1@1224|Proteobacteria,1SKYM@1236|Gammaproteobacteria,3X79E@551|Erwinia",1236|Gammaproteobacteria,M,PAAR motif,-,-,-,-,-,-,-,-,-,-,-,-,"PAAR_motif,RES,RHS,RHS_repeat,Tox-URI2,WHH"
Cluster_19,1395571.TMS3_0120175,0.0,1387.0,"COG0513@1|root,COG1201@1|root,COG0513@2|Bacteria,COG1201@2|Bacteria,1MVGH@1224|Proteobacteria,1RYMK@1236|Gammaproteobacteria",1236|Gammaproteobacteria,L,COG1205 Distinct helicase family with a unique C-terminal domain including a metal-binding cysteine cluster,-,-,-,ko:K06877,-,-,-,-,ko00000,-,-,-,"DEAD,DUF1998,Helicase_C"
Cluster_20,634499.EpC_22610,0.0,2385.0,"COG3096@1|root,COG3096@2|Bacteria,1MUWM@1224|Proteobacteria,1RPFF@1236|Gammaproteobacteria,3X692@551|Erwinia",1236|Gammaproteobacteria,D,"Plays a central role in chromosome condensation, segregation and cell cycle progression. Functions as a homodimer, which is essential for chromosome partition. Involved in negative DNA supercoiling in vivo, and by this means organize and compact chromosomes. May achieve or facilitate chromosome segregation by condensation DNA from both sides of a centrally located replisome during cell division",mukB,"GO:0000166,GO:0000793,GO:0000796,GO:0000819,GO:0001882,GO:0001883,GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0005515,GO:0005524,GO:0005525,GO:0005575,GO:0005622,GO:0005623,GO:0005694,GO:0005737,GO:0005829,GO:0006323,GO:0006996,GO:0007049,GO:0007059,GO:0007062,GO:0008144,GO:0008150,GO:0009987,GO:0016043,GO:0017076,GO:0019001,GO:0022402,GO:0030261,GO:0030554,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032559,GO:0032561,GO:0032991,GO:0035639,GO:0036094,GO:0042802,GO:0043167,GO:0043168,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044422,GO:0044424,GO:0044427,GO:0044444,GO:0044446,GO:0044464,GO:0044815,GO:0051276,GO:0051301,GO:0071103,GO:0071840,GO:0097159,GO:0097367,GO:0098813,GO:1901265,GO:1901363",-,ko:K03632,-,-,-,-,"ko00000,ko03036",-,-,-,"MukB,MukB_hinge,SbcCD_C"
Cluster_21,634500.EbC_18070,0.0,1225.0,"COG2931@1|root,COG2931@2|Bacteria,1MU7T@1224|Proteobacteria,1RMZW@1236|Gammaproteobacteria,3X7SD@551|Erwinia",1236|Gammaproteobacteria,Q,"von willebrand factor, type A",-,-,-,ko:K20276,"ko02024,map02024",-,-,-,"ko00000,ko00001",-,-,-,Big_3_2
Cluster_22,465817.ETA_01560,0.0,2682.0,"COG0086@1|root,COG0086@2|Bacteria,1MU3M@1224|Proteobacteria,1RPYH@1236|Gammaproteobacteria,3X4PG@551|Erwinia",1236|Gammaproteobacteria,K,DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates,rpoC,"GO:0000428,GO:0003674,GO:0003824,GO:0003899,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006351,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0016740,GO:0016772,GO:0016779,GO:0018130,GO:0019438,GO:0030880,GO:0032774,GO:0032991,GO:0034062,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0061695,GO:0071704,GO:0090304,GO:0097659,GO:0097747,GO:0140098,GO:1901360,GO:1901362,GO:1901576,GO:1902494,GO:1990234",2.7.7.6,ko:K03046,"ko00230,ko00240,ko01100,ko03020,map00230,map00240,map01100,map03020",M00183,"R00435,R00441,R00442,R00443",RC02795,"br01611,ko00000,ko00001,ko00002,ko01000,ko03021,ko03400",-,-,-,"RNA_pol_Rpb1_1,RNA_pol_Rpb1_2,RNA_pol_Rpb1_3,RNA_pol_Rpb1_4,RNA_pol_Rpb1_5"
Cluster_23,634499.EpC_36000,0.0,2035.0,"COG0457@1|root,COG4235@1|root,COG4783@1|root,COG0457@2|Bacteria,COG4235@2|Bacteria,COG4783@2|Bacteria,1MVB8@1224|Proteobacteria,1RPSN@1236|Gammaproteobacteria,3X82I@551|Erwinia",1236|Gammaproteobacteria,O,Cellulose synthase operon protein C C-terminus (BCSC_C),bcsC,-,-,ko:K20543,-,-,-,-,"ko00000,ko02000",1.B.55.3,-,-,"BCSC_C,TPR_16,TPR_19,TPR_8"
Cluster_24,634500.EbC_02590,0.0,2602.0,"COG0085@1|root,COG0085@2|Bacteria,1MUC4@1224|Proteobacteria,1RMK0@1236|Gammaproteobacteria,3X5EJ@551|Erwinia",1236|Gammaproteobacteria,K,DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates,rpoB,"GO:0000428,GO:0003674,GO:0003824,GO:0003899,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006351,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0016740,GO:0016772,GO:0016779,GO:0018130,GO:0019438,GO:0030880,GO:0032774,GO:0032991,GO:0034062,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0061695,GO:0071704,GO:0090304,GO:0097659,GO:0097747,GO:0140098,GO:1901360,GO:1901362,GO:1901576,GO:1902494,GO:1990234",2.7.7.6,ko:K03043,"ko00230,ko00240,ko01100,ko03020,map00230,map00240,map01100,map03020",M00183,"R00435,R00441,R00442,R00443",RC02795,"br01611,ko00000,ko00001,ko00002,ko01000,ko03021,ko03400",-,-,-,"RNA_pol_Rpb2_1,RNA_pol_Rpb2_2,RNA_pol_Rpb2_3,RNA_pol_Rpb2_45,RNA_pol_Rpb2_6,RNA_pol_Rpb2_7"
Cluster_25,1500890.JQNL01000001_gene830,1.26e-223,702.0,"COG3209@1|root,COG3209@2|Bacteria,1MX7Y@1224|Proteobacteria,1RSIW@1236|Gammaproteobacteria,1X6PZ@135614|Xanthomonadales",135614|Xanthomonadales,M,COG3209 Rhs family protein,-,-,-,-,-,-,-,-,-,-,-,-,"RHS_repeat,Tox-HDC"
Cluster_26,634499.EpC_15050,0.0,2348.0,"COG0506@1|root,COG4230@1|root,COG0506@2|Bacteria,COG4230@2|Bacteria,1MV93@1224|Proteobacteria,1RN48@1236|Gammaproteobacteria,3X4PI@551|Erwinia",1236|Gammaproteobacteria,C,Oxidizes proline to glutamate for use as a carbon and nitrogen source,putA,"GO:0000166,GO:0000976,GO:0000984,GO:0000986,GO:0000987,GO:0001017,GO:0001067,GO:0001130,GO:0001131,GO:0001141,GO:0001217,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003700,GO:0003824,GO:0003842,GO:0004657,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0005886,GO:0006082,GO:0006355,GO:0006520,GO:0006536,GO:0006560,GO:0006562,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009063,GO:0009064,GO:0009065,GO:0009889,GO:0009890,GO:0009892,GO:0009898,GO:0009987,GO:0010133,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0016020,GO:0016054,GO:0016491,GO:0016645,GO:0016646,GO:0019219,GO:0019222,GO:0019752,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0036094,GO:0042802,GO:0043167,GO:0043168,GO:0043436,GO:0043565,GO:0043648,GO:0044212,GO:0044237,GO:0044238,GO:0044248,GO:0044281,GO:0044282,GO:0044425,GO:0044459,GO:0044464,GO:0045892,GO:0045934,GO:0046395,GO:0046483,GO:0046700,GO:0048037,GO:0048519,GO:0048523,GO:0050660,GO:0050662,GO:0050789,GO:0050794,GO:0051171,GO:0051172,GO:0051252,GO:0051253,GO:0055114,GO:0060255,GO:0065007,GO:0071704,GO:0071944,GO:0080090,GO:0097159,GO:0098552,GO:0098562,GO:0140110,GO:1901265,GO:1901360,GO:1901361,GO:1901363,GO:1901564,GO:1901565,GO:1901575,GO:1901605,GO:1901606,GO:1902679,GO:1903506,GO:1903507,GO:1990837,GO:2000112,GO:2000113,GO:2001141","1.2.1.88,1.5.5.2",ko:K13821,"ko00250,ko00330,ko01100,ko01110,ko01130,map00250,map00330,map01100,map01110,map01130",-,"R00245,R00707,R00708,R01253,R04444,R04445,R05051","RC00080,RC00083,RC00216,RC00242,RC00255","ko00000,ko00001,ko01000,ko03000",-,-,"iPC815.YPO1851,iSbBS512_1146.SbBS512_E2304","Aldedh,Pro_dh,Pro_dh-DNA_bdg"
Cluster_27,634500.EbC_06320,0.0,1677.0,"COG1020@1|root,COG1020@2|Bacteria,1QK4F@1224|Proteobacteria,1RPAG@1236|Gammaproteobacteria,3X4J1@551|Erwinia",1236|Gammaproteobacteria,Q,Condensation domain,-,-,-,-,-,-,-,-,-,-,-,-,"AMP-binding,AMP-binding_C,Condensation,PP-binding,Thioesterase"
Cluster_28,634499.EpC_10160,0.0,2424.0,"COG0046@1|root,COG0047@1|root,COG0046@2|Bacteria,COG0047@2|Bacteria,1MYN4@1224|Proteobacteria,1RMRN@1236|Gammaproteobacteria,3X6AA@551|Erwinia",1236|Gammaproteobacteria,F,Phosphoribosylformylglycinamidine synthase involved in the purines biosynthetic pathway. Catalyzes the ATP-dependent conversion of formylglycinamide ribonucleotide (FGAR) and glutamine to yield formylglycinamidine ribonucleotide (FGAM) and glutamate,purL,"GO:0000166,GO:0003674,GO:0003824,GO:0004642,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006139,GO:0006163,GO:0006164,GO:0006188,GO:0006189,GO:0006520,GO:0006541,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009064,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009167,GO:0009168,GO:0009259,GO:0009260,GO:0009987,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016874,GO:0016879,GO:0016884,GO:0016887,GO:0017076,GO:0017111,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0019752,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0034641,GO:0034654,GO:0035639,GO:0036094,GO:0042623,GO:0043167,GO:0043168,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046040,GO:0046390,GO:0046483,GO:0055086,GO:0071704,GO:0072521,GO:0072522,GO:0090407,GO:0097159,GO:0097367,GO:1901135,GO:1901137,GO:1901265,GO:1901293,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1901605",6.3.5.3,ko:K01952,"ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130",M00048,R04463,"RC00010,RC01160","ko00000,ko00001,ko00002,ko01000",-,-,"iECH74115_1262.ECH74115_3792,iECO111_1330.ECO111_3283,iECSP_1301.ECSP_3501,iECs_1301.ECs3423,iG2583_1286.G2583_3088,iJN746.PP_1037,ic_1306.c3080","AIRS_C,GATase_5"
Cluster_29,634499.EpC_17350,0.0,2340.0,"COG1643@1|root,COG1643@2|Bacteria,1MUEQ@1224|Proteobacteria,1RMU1@1236|Gammaproteobacteria,3X5S9@551|Erwinia",1236|Gammaproteobacteria,L,ATP-dependent,hrpA,"GO:0003674,GO:0003724,GO:0003824,GO:0004004,GO:0004386,GO:0006139,GO:0006396,GO:0006397,GO:0006725,GO:0006807,GO:0008026,GO:0008150,GO:0008152,GO:0008186,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016071,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0034641,GO:0042623,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0046483,GO:0070035,GO:0071704,GO:0090304,GO:0140098,GO:1901360",3.6.4.13,ko:K03578,-,-,-,-,"ko00000,ko01000",-,-,-,"DEAD,DUF3418,HA2,Helicase_C,OB_NTP_bind"
Cluster_30,633.DJ40_3883,0.0,1127.0,"COG3523@1|root,COG3523@2|Bacteria,1MV3D@1224|Proteobacteria,1RPQ2@1236|Gammaproteobacteria,41FM1@629|Yersinia",1236|Gammaproteobacteria,S,ImcF-related N-terminal domain,icmF,-,-,ko:K11891,"ko02025,ko03070,map02025,map03070",M00334,-,-,"ko00000,ko00001,ko00002,ko02044",3.A.23.1,-,-,"IcmF-related,IcmF_C,ImcF-related_N"
Cluster_31,465817.ETA_02890,0.0,2035.0,"COG3164@1|root,COG3164@2|Bacteria,1MXWF@1224|Proteobacteria,1RNUK@1236|Gammaproteobacteria,3X4YH@551|Erwinia",1236|Gammaproteobacteria,S,Protein of unknown function,yhdP,"GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0016020,GO:0016021,GO:0030288,GO:0030313,GO:0031224,GO:0031226,GO:0031975,GO:0042597,GO:0044425,GO:0044459,GO:0044464,GO:0071944",-,-,-,-,-,-,-,-,-,-,"AsmA_2,DUF3971"
Cluster_32,465817.ETA_29410,0.0,2223.0,"COG2911@1|root,COG2911@2|Bacteria,1MUVD@1224|Proteobacteria,1RMMF@1236|Gammaproteobacteria,3X561@551|Erwinia",1236|Gammaproteobacteria,S,Pfam:DUF490,ytfN,"GO:0002790,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0008104,GO:0008150,GO:0009306,GO:0009987,GO:0015031,GO:0015833,GO:0016020,GO:0016021,GO:0031224,GO:0031226,GO:0032940,GO:0032991,GO:0033036,GO:0042886,GO:0044425,GO:0044459,GO:0044464,GO:0045184,GO:0046903,GO:0051179,GO:0051234,GO:0071702,GO:0071705,GO:0071944,GO:0097347",-,ko:K09800,-,-,-,-,"ko00000,ko02000",-,-,-,TamB
Cluster_33,371042.NG99_23095,0.0,2248.0,"COG0646@1|root,COG1410@1|root,COG0646@2|Bacteria,COG1410@2|Bacteria,1MV6G@1224|Proteobacteria,1RMYD@1236|Gammaproteobacteria,3X81F@551|Erwinia",1236|Gammaproteobacteria,H,B12 binding domain,metH,"GO:0000096,GO:0000097,GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006464,GO:0006479,GO:0006520,GO:0006555,GO:0006575,GO:0006725,GO:0006730,GO:0006732,GO:0006760,GO:0006790,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0008168,GO:0008172,GO:0008213,GO:0008270,GO:0008276,GO:0008652,GO:0008705,GO:0009058,GO:0009066,GO:0009067,GO:0009086,GO:0009987,GO:0016053,GO:0016740,GO:0016741,GO:0019538,GO:0019752,GO:0019842,GO:0031419,GO:0032259,GO:0034641,GO:0035999,GO:0036094,GO:0036211,GO:0042084,GO:0042558,GO:0043167,GO:0043169,GO:0043170,GO:0043412,GO:0043414,GO:0043436,GO:0043603,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044272,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046483,GO:0046653,GO:0046872,GO:0046906,GO:0046914,GO:0048037,GO:0050667,GO:0051186,GO:0071704,GO:0097159,GO:0140096,GO:1901360,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607",2.1.1.13,ko:K00548,"ko00270,ko00450,ko00670,ko01100,ko01110,ko01230,map00270,map00450,map00670,map01100,map01110,map01230",M00017,"R00946,R09365","RC00035,RC00113,RC01241","ko00000,ko00001,ko00002,ko01000",-,-,"iECO103_1326.ECO103_4764,iECUMN_1333.ECUMN_4545","B12-binding,B12-binding_2,Met_synt_B12,Pterin_bind,S-methyl_trans"
Cluster_34,634500.EbC_18030,0.0,1761.0,"COG0642@1|root,COG2205@2|Bacteria,1NRP8@1224|Proteobacteria,1TGXM@1236|Gammaproteobacteria,3X7EN@551|Erwinia",1236|Gammaproteobacteria,T,PAS domain,-,-,2.7.13.3,ko:K07679,"ko02020,ko05133,map02020,map05133",M00477,-,-,"ko00000,ko00001,ko00002,ko01000,ko01001,ko02022",-,-,-,"HATPase_c,HisKA,PAS_4,Response_reg,SBP_bac_3"
Cluster_35,1217708.F887_00631,0.0,1059.0,"COG0642@1|root,COG0745@1|root,COG0834@1|root,COG0745@2|Bacteria,COG0834@2|Bacteria,COG2205@2|Bacteria,1NRP8@1224|Proteobacteria,1RQCU@1236|Gammaproteobacteria,3NT1A@468|Moraxellaceae",1236|Gammaproteobacteria,T,Motif C-terminal to PAS motifs (likely to contribute to PAS structural domain),evgS,"GO:0000155,GO:0000160,GO:0003674,GO:0003824,GO:0004672,GO:0004673,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0007154,GO:0007165,GO:0008150,GO:0008152,GO:0009268,GO:0009628,GO:0009927,GO:0009987,GO:0010447,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0016775,GO:0018106,GO:0018193,GO:0018202,GO:0019538,GO:0023014,GO:0023052,GO:0035556,GO:0036211,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0046777,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0060089,GO:0065007,GO:0071704,GO:0140096,GO:1901564",2.7.13.3,"ko:K07677,ko:K07679","ko02020,ko02026,ko05133,map02020,map02026,map05133","M00474,M00477",-,-,"ko00000,ko00001,ko00002,ko01000,ko01001,ko02022",-,-,-,"HATPase_c,HisKA,Hpt,PAS,PAS_3,PAS_4,Response_reg,SBP_bac_3"
Cluster_36,465817.ETA_06140,0.0,2125.0,"COG3523@1|root,COG3523@2|Bacteria,1MV3D@1224|Proteobacteria,1RPQ2@1236|Gammaproteobacteria,3X5QK@551|Erwinia",1236|Gammaproteobacteria,S,Type VI secretion system,icmF1,-,-,ko:K11891,"ko02025,ko03070,map02025,map03070",M00334,-,-,"ko00000,ko00001,ko00002,ko02044",3.A.23.1,-,-,"IcmF-related,IcmF_C,ImcF-related_N"
