,tc_code,domain,kingdom_phylum,des_short,des_long,dir,tcat,cot,rev,chebi,bigg,rid,rstrings
10,1.A.1.11.30,,"Viridiplantae, Streptophyta",TPC calcium channel protein with two transmembrane domains of 6 TMSs each (720 aas and 12 TMSs) (Wheeler and Brownlee 2008).,TPC calcium channel protein with two transmembrane domains of 6 TMSs each (720 aas and 12 TMSs) (Wheeler and Brownlee 2008).,{'uptake'},,,,{'3308': 'calcium(2+)'},{'3308': {'ca2'}},R_1_A_1_11_30,{'3308': set()}
11,1.A.1.11.31,Bacteria,"Metazoa, Chordata","Voltage-sensitive calcium channel (VSCC), CAV1.3, encoded by the CACNA1D gene, of 2161 aas and 24 TMSs (Singh et al","Voltage-sensitive calcium channel (VSCC), CAV1.3, encoded by the CACNA1D gene, of 2161 aas and 24 TMSs (Singh et al. 2008). CaV1.3-R990H channels conduct omega-currents at hyperpolarizing potentials, but not upon membrane depolarization compared with wild-type channels (Monteleone et al. 2017). A CACNA1D de novo mutation causes a severe neurodevelopmental disorder (Hofer et al. 2020).",{'uptake'},,,,{},{},R_1_A_1_11_31,{}
12,1.A.1.11.32,,"Metazoa, Chordata","Pore-forming, alpha-1S subunit of the 
voltage-gated calcium channel, of 1873 aas and 24 TMSs, Cav1.1; CACNA1S; CACN1; CACH1; CACNL1A3, that gives rise to L-type calcium currents
 in skeletal muscle","Pore-forming, alpha-1S subunit of the 
voltage-gated calcium channel, of 1873 aas and 24 TMSs, Cav1.1; CACNA1S; CACN1; CACH1; CACNL1A3, that gives rise to L-type calcium currents
 in skeletal muscle. Calcium channels containing the alpha-1S subunit 
play an important role in excitation-contraction coupling in skeletal 
muscle via their interaction with RYR1, which triggers Ca2+ release from the sarcplasmic reticulum and ultimately results in muscle 
contraction. Long-lasting (L-type) calcium channels belong to the 
'high-voltage activated' (HVA) group (Jiang et al. 2018). The 3-d structure of a bacterial homologue has been solved (Jiang et al. 2018). Mutations in arginly residues in the TMS4 voltage lead to increased leak currently that may be responsible for hypokalaemic periodic paralysis (Kubota et al. 2020). Mutations in the voltage sensor domain of CaV1.1, the alpha1S subunit of the L-type calcium channel in skeletal muscle cause hypokalemic periodic paralysis (HypoPP), and these mutations give rise to gating pore currents (Wu et al. 2021). The voltage-gated T-type calcium channel is modulated by kinases and phosphatases (Sharma et al. 2023). Advances in CaV1.1 gating, dealing with permeation and voltage-sensing mechanisms, have been reviewed (Bibollet et al. 2023). It is possible to prevent calcium leak associated with short-coupled polymorphic ventricular tachycardia in patient-derived cardiomyocytes (Sleiman et al. 2023). Far-infrared ameliorates Pb-induced renal toxicity via voltage-gated calcium channel-mediated calcium influx (Ko et al. 2023). Verapamil mitigates chloride and calcium bi-channelopathy in a myotonic dystrophy mouse model (Cisco et al. 2024).",{'uptake'},,,,{},{},R_1_A_1_11_32,{}
13,1.A.1.13.1,Bacteria,Pseudomonadota,6TMS K+ channel (Munsey et al,"6TMS K+ channel (Munsey et al. 2002; Kuo et al., 2003).  The kch gene, the only known potassium channel gene in E. coli, has 
the property to express both full-length Kch and its cytosolic domain 
(RCK) due to a methionine at position 240. The RCK domains form an octameric ring structure and regulate the gating of the 
potassium channels after having bound certain ligands. Several different
 gating ring structures have been reported for the soluble RCK domains.  The octameric structure of Kch may be composed of two 
tetrameric full-length proteins through RCK interaction (Kuang et al. 2013).  The RCK domains face the solution, and an RCK octameric gating ring 
arrangement does not form under certain conditions (Kuang et al. 2015).",{'uptake'},,,,{'8345': 'potassium(1+)'},{'8345': {'k'}},R_1_A_1_13_1,{'8345': set()}
14,1.A.1.13.4,Bacteria,Bacillota,"The Biofilm-inducing putative K+ channel, BikC or YugO (Prindle et al","The Biofilm-inducing putative K+ channel, BikC or YugO (Prindle et al. 2015). BikC has an N-terminal 2 TMS + P-loop channel domain and a C-terminal NADB_Rossman superfamily domain (TrkA domain). YugO is in a two cistronic operon where Mistic (MstX; 9.A.66; Debnath et al., 2011; Roosild et al., 2005) is encoded by the gene that precedes yugO. Both play a role in biofilm formation, probably by functioning together (Lundberg et al. 2013; Marino et al. 2015). These K+ channels in bacterial biofilms provide an active, long-range electrical signalling for cellular communities (Prindle et al. 2015).  Metabolic co-dependency gives rise to collective electrical oscillations in biofilms (Liu et al. 2015). This oscillatory electrical signalling, due to periodic release of K+, giving rise to K+ gradients, increasing as swimming cells approach the biofilm that generates the gradiens, allows cells of the same and different speices to find and then incorporate themselves into existing biofilms (Humphries et al. 2017).",{'uptake'},,,,{'8345': 'potassium(1+)'},{'8345': {'k'}},R_1_A_1_13_4,{'8345': set()}
15,1.A.1.13.5,Bacteria,Actinomycetota,Putative 2 TMS ion channel protein (N-terminus) with C-terminal TrkA_N (NADB Rossman) domain.,Putative 2 TMS ion channel protein (N-terminus) with C-terminal TrkA_N (NADB Rossman) domain.,{'uptake'},,,,{'24870': 'ion'},{'24870': set()},R_1_A_1_13_5,{'24870': set()}
16,1.A.1.13.6,Bacteria,Cyanobacteriota,"Ca2+-activated K+ channel, SynCaK","Ca2+-activated K+ channel, SynCaK. Functions in the regulation of photosynthesis (Checchetto et al. 2013; Checchetto et al. 2013).",{'uptake'},,,,{'8345': 'potassium(1+)'},{'8345': {'k'}},R_1_A_1_13_6,{'8345': set()}
17,1.A.1.13.7,Bacteria,Cyanobacteriota,"Putative K+ channel, TrkA1, of 365 aas and 2 N-terminal TMSs, with a C-terminal NAD binding domain.","Putative K+ channel, TrkA1, of 365 aas and 2 N-terminal TMSs, with a C-terminal NAD binding domain.",{'uptake'},,,,{'8345': 'potassium(1+)'},{'8345': {'k'}},R_1_A_1_13_7,{'8345': set()}
18,1.A.1.13.9,Bacteria,Campylobacterota,"K+ channel of 387 aas and 2 TMSs, KchA","K+ channel of 387 aas and 2 TMSs, KchA.  KchA is essential for growth at low concentrations of K+. This K+ uptake system is essential for gastric colonization and the persistence of H. pyloriin the stomach (Stingl et al. 2007). This protein is of the two-transmembrane RCK (regulation of K+ conductance) domain family (Stingl et al. 2007).",{'uptake'},,,,{'8345': 'potassium(1+)'},{'8345': {'k'}},R_1_A_1_13_9,{'8345': set()}
19,1.A.1.14.1,Bacteria,Bacillota,"Voltage-activated, Ca2+  channel blocker-inhibited, Na+  channel, NaChBac (Ren et al., 2001; Zhao et al., 2004; Nurani et al, 2008; Charalambous and Wallace, 2011)","Voltage-activated, Ca2+  channel blocker-inhibited, Na+  channel, NaChBac (Ren et al., 2001; Zhao et al., 2004; Nurani et al, 2008; Charalambous and Wallace, 2011). Arginine residues in the S4 segment play a role in voltage-sensing (Chahine et al. 2004). Transmembrane and extramembrane regions contribute to thermal stability (Powl et al., 2012). Deprotonation of arginines in S4 is involved in NaChBac gating (Paldi, 2012). Hinge-bending motions in the pore domain of NaChBac have been reported (Barber et al., 2012).  The C-terminal coiled-coli stabilizes subunit interactions (Mio et al. 2010).  Within the 4 TMS voltage sensor, coupling between residues in S1 and S4 determines its resting conformation (Paldi and Gurevitz 2010). The conserved asparagine was changed to aspartate, N225D, and this substitution shifted the voltage-dependence of inactivation by 25 mV to more hyperpolarized potentials. The mutant also displays greater thermostability (O'Reilly et al. 2017).  Possibly, the side-chain amido group of asn225 forms one or more hydrogen bonds with different channel elements, and  these interactions are important for normal channel function. The T1-tetramerization domain of Kv1.2 (TC# 1.A.1.2.10) rescues expression and preserves the function of a truncated form of the NaChBac sodium channel (D'Avanzo et al. 2022). The structure of NaChBac embedded in liposomes has been solved by cryo electron tomography (Chang et al. 2023). The small channel has most of its residues embedded in the membrane, and these are flexible, determining the channel dimensions.",{'uptake'},,,,{'3308': 'calcium(2+)'},{'3308': {'ca2'}},R_1_A_1_14_1,{'3308': set()}
20,1.A.1.14.2,Bacteria,Pseudomonadota,"Voltage-gated Na+ channel, NavPZ (Koishi et al., 2004)","Voltage-gated Na+ channel, NavPZ (Koishi et al., 2004)",{'uptake'},,,,{'9175': 'sodium(1+)'},{'9175': {'na1'}},R_1_A_1_14_2,{'9175': set()}
21,1.A.1.14.3,Bacteria,Bacillota,"Na+ channel, NavBP, involved in motility, chemotaxis and pH homeostasis (Ito et al., 2004)","Na+ channel, NavBP, involved in motility, chemotaxis and pH homeostasis (Ito et al., 2004). NavBP colocalizes with a methyl-accepting chemotaxis protein (MCP) at the cell poles (Fujinami et al., 2007).",{'uptake'},,,,{'9175': 'sodium(1+)'},{'9175': {'na1'}},R_1_A_1_14_3,{'9175': set()}
22,1.A.1.14.4,Bacteria,Pseudomonadota,"Voltage-gated Na+ channel, VGSC (Koishi et al., 2004; McCusker et al., 2011) Changing the selectivity filter from LESSM to LDDWSD yielded a Calcium-selective channel (Shaya et al., 2011).","Voltage-gated Na+ channel, VGSC (Koishi et al., 2004; McCusker et al., 2011) Changing the selectivity filter from LESSM to LDDWSD yielded a Calcium-selective channel (Shaya et al., 2011).",{'uptake'},,,,{'9175': 'sodium(1+)'},{'9175': {'na1'}},R_1_A_1_14_4,{'9175': set()}
23,1.A.1.14.5,Bacteria,Campylobacterota,"Voltage-gated Na+ channel, NavCh or NavAb","Voltage-gated Na+ channel, NavCh or NavAb. The 3d-structure is known (3ROW; Payandeh et al., 2011; 4MW3A-D; 4+ selectivity through partial dehydration of Na+ via its direct interaction with conserved glutamate side chains). The pore is preferentially occupied by two ions, which can switch between different configurations by crossing low free-energy barriers (Furini and Domene, 2012). Jiang et al. 2018 presented high-resolution structures of NavAb with the analogous gating-charge mutations that have similar functional effects as in the human channels that cause hypokalaemic and normokalaemic periodic paralysis.  Wisedchaisri et al. 2019 presented a cryo-EM structure of the resting state and a complete 
voltage-dependent gating mechanism via the voltage sensor (VS). The S4 segment of the VS is drawn 
intracellularly, with three gating charges passing through the 
transmembrane electric field. This movement forms an elbow connecting S4
 to the S4-S5 linker, tightens the collar around the S6 activation gate,
 and prevents its opening. This structure supports the classical ""sliding
 helix"" mechanism of voltage sensing and provides a complete gating 
mechanism for voltage sensor function, pore opening, and activation-gate
 closure based on high-resolution structures of a single sodium channel 
protein (Wisedchaisri et al. 2019).
(see also TC#s 1.A.1.10.4 and 1.A.1.11.32).
The transport reaction catalyzed by NavCh is:
Na+ (in) ⇌ Na+ (out)",{'uptake'},,,,{'9175': 'sodium(1+)'},{'9175': {'na1'}},R_1_A_1_14_5,{'9175': set()}
24,1.A.1.14.6,Bacteria,Pseudomonadota,"Bacterial voltage-gated sodium channel, Nav","Bacterial voltage-gated sodium channel, Nav.  3-d crystal structures of vaious conformations are known (4P_3A A-D; 4PA7_A-D; 4P9P_A-D. etc.)  (McCusker et al. 2012).  It has its internal cavity accessible to the cytoplasmic surface as a result of a bend/rotation about a central residue in the carboxy-terminal TMS that opens the gate to allow entry of hydrated sodium ions. The molecular dynamics of ion transport through the open conformation has been analyzed (Ulmschneider et al. 2013).  The C-terminal four helix coiled coil bundle domain couples inactivation with channel opening, depedent on the negatively charged linker region (Bagnéris et al. 2013). A NaVSp1-specific S4-S5 linker peptide induced both an increase in NaVSp1 current density and a negative shift in the activation curve, consistent with the S4-S5 linker stabilizing the open state (Malak et al. 2020).",{'uptake'},,,,{'9175': 'sodium(1+)'},{'9175': {'na1'}},R_1_A_1_14_6,{'9175': set()}
25,1.A.1.14.7,Bacteria,Bacillota,"Tetrameric 6 TMS subunit Na+ channel protein, NaV","Tetrameric 6 TMS subunit Na+ channel protein, NaV.  Two low resolution cyroEM structures revealed two conformations 
 reconstituted in lipid bilayers (Tsai et al. 2013). Despite a voltage sensor arrangement 
identical with that in the activated form, Tsai et al. 2013 observed two distinct pore
 domain structures: a prominent form with a relatively open inner gate, 
and a closed inner-gate conformation similar to the first prokaryotic Nav structure. Structural differences, together with mutational and 
electrophysiological analyses, indicated that widening of the inner gate
 was dependent on interactions among the S4-S5 linker, the N-terminal 
part of S5 and its adjoining part in S6, and on interhelical repulsion 
by a negatively charged C-terminal region subsequent to S6 (Tsai et al. 2013).",{'uptake'},,,,{'9175': 'sodium(1+)'},{'9175': {'na1'}},R_1_A_1_14_7,{'9175': set()}
26,1.A.1.14.8,,Bacillota,"Voltage-gated Na+ channel, Nsv, of 277 aas and 6 TMSs with a structually defined C-terminal regulatory domain (Miller et al","Voltage-gated Na+ channel, Nsv, of 277 aas and 6 TMSs with a structually defined C-terminal regulatory domain (Miller et al. 2016). Voltage-gated sodium channels (NaVs) are activated by 
transiting the voltage sensor from the deactivated to the activated 
state. Tang et al. 2017 identified peptide toxins stabilizing the deactivated 
VSM of bacterial NaVs. A cystine knot toxin, called JZTx-27, from the venom of the tarantula Chilobrachys jingzhao proved to be a high-affinity antagonist. JZTx-27 stabilizes the inactive form of the voltage sensor, thereby inhibiting channel activity (Tang et al. 2017).",{'uptake'},,,,{'9175': 'sodium(1+)'},{'9175': {'na1'}},R_1_A_1_14_8,{'9175': set()}
27,1.A.1.15.7,Bacteria,Mycoplasmatota,Ion  channel transporter of 296 aas and 5 putative TMSs.,Ion  channel transporter of 296 aas and 5 putative TMSs.,{'uptake'},,,,{'24870': 'ion'},{'24870': set()},R_1_A_1_15_7,{'24870': set()}
28,1.A.1.17.2,Bacteria,Bacillota,"Voltage-gated K+ channel, Kv (Santos et al., 2008).","Voltage-gated K+ channel, Kv (Santos et al., 2008).",{'uptake'},,,,{'8345': 'potassium(1+)'},{'8345': {'k'}},R_1_A_1_17_2,{'8345': set()}
29,1.A.1.20.7,,"Viridiplantae, Chlorophyta","Cyclic nucleotide-gated K+ channel, CNGC or CNG1 of 894 aas and 6 TMSs (Wheeler and Brownlee 2008).","Cyclic nucleotide-gated K+ channel, CNGC or CNG1 of 894 aas and 6 TMSs (Wheeler and Brownlee 2008).",{'uptake'},,,,{'8345': 'potassium(1+)'},{'8345': {'k'}},R_1_A_1_20_7,{'8345': set()}
30,1.A.1.21.1,Bacteria,Bacillota,"K+- and Na+-conducting NaK channel, NaK2K of 97 aas and 2 TMSs","K+- and Na+-conducting NaK channel, NaK2K of 97 aas and 2 TMSs. The 3-D structure has been solved with Na+ and K+bound (Shi et al., 2006).  It exhibits tight structural and dynamic coupling between the
selectivity filter and the channel scaffold (Brettmann et al. 2015). A hydrophobic residue at the bottom of the selectivity filter, Phe92, appears in dual conformations. One of the two conformations of Phe92 restricts the diameter of the exit pore around the selectivity filter, limiting ion flow through the channel, while the other conformation of Phe92 provides a larger-diameter exit pore from the selectivity filter. Thus, Phe92 acts as a hydrophobic gate (Langan et al. 2020).",{'uptake'},,,,"{'9175': 'sodium(1+)', '8345': 'potassium(1+)'}","{'9175': {'na1'}, '8345': {'k'}}",R_1_A_1_21_1,"{'9175': set(), '8345': set()}"
31,1.A.1.21.2,Bacteria,Chloroflexota,Two pore domain potassium channel family protein of 122 aas and 2 TMSs.,Two pore domain potassium channel family protein of 122 aas and 2 TMSs.,{'uptake'},,,,{'29103': 'potassium(1+)'},{'29103': {'k'}},R_1_A_1_21_2,{'29103': set()}
32,1.A.1.22.1,Bacteria,Pseudomonadota,"The cyclic nucleotide-gated K+ channel, MmaK","The cyclic nucleotide-gated K+ channel, MmaK. (Activated by cyclic AMP and cyclic GMP; inactivated at slightly acidic pH (Kuo et al., 2007))",{'uptake'},,,,{'8345': 'potassium(1+)'},{'8345': {'k'}},R_1_A_1_22_1,{'8345': set()}
33,1.A.1.23.4,Bacteria,Actinomycetota,putative ion channel (N-terminal domain) protein with C-terminal TrkA-N domain (DUF1012); NAD-binding lipoprotein.,putative ion channel (N-terminal domain) protein with C-terminal TrkA-N domain (DUF1012); NAD-binding lipoprotein.,{'uptake'},,,,{'24870': 'ion'},{'24870': set()},R_1_A_1_23_4,{'24870': set()}
34,1.A.1.24.1,Bacteria,Pseudomonadota,"The cyclic nucleotide regulated K+ channel, CNR-K+ channel (412 aas)","The cyclic nucleotide regulated K+ channel, CNR-K+ channel (412 aas)",{'uptake'},,,,{'8345': 'potassium(1+)'},{'8345': {'k'}},R_1_A_1_24_1,{'8345': set()}
35,1.A.1.24.2,Bacteria,Myxococcota,K+ channel protein homologue,K+ channel protein homologue,{'uptake'},,,,{'8345': 'potassium(1+)'},{'8345': {'k'}},R_1_A_1_24_2,{'8345': set()}
36,1.A.1.24.3,Bacteria,Myxococcota,Putative 6 TMS potassium channel,Putative 6 TMS potassium channel,{'uptake'},,,,{'8345': 'potassium(1+)'},{'8345': {'k'}},R_1_A_1_24_3,{'8345': set()}
37,1.A.1.24.4,Bacteria,Cyanobacteriota,Putative K+ channel,Putative K+ channel,{'uptake'},,,,{'8345': 'potassium(1+)'},{'8345': {'k'}},R_1_A_1_24_4,{'8345': set()}
38,1.A.1.24.5,Bacteria,Pseudomonadota,Cyclic nucleotide-gated K+ channel of 459 aas.,Cyclic nucleotide-gated K+ channel of 459 aas.,{'uptake'},,,,{'8345': 'potassium(1+)'},{'8345': {'k'}},R_1_A_1_24_5,{'8345': set()}
39,1.A.1.24.6,Bacteria,Bacteroidota,Uncharacterized ion channel protein of 276 aas and 6 TMSs,Uncharacterized ion channel protein of 276 aas and 6 TMSs,{'uptake'},,,,{},{},R_1_A_1_24_6,{}
